# Const.Quarks: yproj=  0.740 ycut/yproj=  1.000
# time(fm/c) N(det) px(dir) v1 v2 eps eps(t) px^2 py^2 pt^2 alp Edir N(det-all) N(all) px(dir) v1 v2
# 1          2      3       4  5  6   7      8    9    10   11  12         13     14      15 16
  24.60  4.00E-01 -9.25E-02 -4.15E-01  5.52E-01 -2.03E-01 -2.01E-01  5.96E-02  8.71E-03  2.41E-01  1.48E-01  1.00E+00  5.00E-01  1.00E+00 -1.23E-01 -5.31E-01  6.38E-01
  24.90  3.00E-01  1.30E-02  2.57E-01 -3.28E-01 -3.03E-01 -3.14E-01  3.98E-03  3.16E-02  1.76E-01  8.95E-02  1.00E+00  3.00E-01  1.00E+00  1.30E-02  2.57E-01 -3.28E-01
  25.20  1.00E-01  2.30E-01  9.49E-01  8.02E-01  9.66E-01  9.53E-01  5.27E-02  5.78E-03  2.42E-01  1.40E-01  1.00E+00  2.00E-01  1.00E+00  1.06E-01  4.24E-01 -8.85E-02
  25.50  2.00E-01  1.23E-01  4.12E-01 -2.74E-01  6.67E-01  6.90E-01  3.12E-02  2.50E-02  2.28E-01  1.31E-01  1.00E+00  2.00E-01  1.00E+00  1.23E-01  4.12E-01 -2.74E-01
  25.80  2.00E-01  1.61E-01  4.65E-01 -5.46E-01 -2.24E-01 -2.34E-01  2.61E-02  1.26E-01  3.72E-01  2.62E-01  1.00E+00  3.00E-01  1.00E+00  1.37E-01  5.18E-01 -4.36E-01
  26.10  2.00E-01 -1.45E-01 -7.46E-01  1.19E-01  4.99E-01  4.85E-01  2.49E-02  1.57E-02  1.89E-01  1.01E-01  1.00E+00  3.00E-01  1.00E+00  3.03E-02 -1.70E-01  3.89E-01
  26.40  1.00E-01 -3.26E-02 -2.18E-01 -9.05E-01  5.84E-01  5.83E-01  1.07E-03  2.14E-02  1.50E-01  6.67E-02  1.00E+00  2.00E-01  1.00E+00  4.69E-02  3.46E-01 -1.26E-01
  26.70  3.00E-01  2.16E-01  4.76E-01  2.10E-01  6.23E-01  6.29E-01  9.78E-02  1.94E-02  3.14E-01  2.09E-01  1.00E+00  4.00E-01  1.00E+00  1.14E-01  1.09E-01  3.99E-01
  27.00  2.00E-01  9.79E-02  5.09E-01 -3.95E-01  3.99E-01  3.95E-01  1.03E-02  3.25E-02  2.05E-01  1.10E-01  1.00E+00  2.00E-01  1.00E+00  9.79E-02  5.09E-01 -3.95E-01
  27.30  1.00E-01  4.00E-02  1.55E-01 -9.52E-01 -9.33E-01 -9.23E-01  1.60E-03  6.48E-02  2.58E-01  1.56E-01  1.00E+00  2.00E-01  1.00E+00 -6.15E-02 -4.22E-01  2.29E-02
  27.60  3.00E-01 -5.52E-02 -2.48E-01  2.15E-01 -3.43E-01 -3.38E-01  1.70E-02  2.79E-03  1.28E-01  5.17E-02  1.00E+00  3.00E-01  1.00E+00 -5.52E-02 -2.48E-01  2.15E-01
  27.90  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E-01  1.00E+00  5.90E-02  5.13E-01 -4.74E-01
  28.20  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E+00  0.00E+00  0.00E+00  0.00E+00
  28.50  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E+00  0.00E+00  0.00E+00  0.00E+00
  28.80  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E+00  0.00E+00  0.00E+00  0.00E+00
  29.10  1.00E-01 -9.62E-02 -7.24E-01  4.87E-02 -5.25E-01 -5.26E-01  9.25E-03  8.39E-03  1.33E-01  5.44E-02  1.00E+00  2.00E-01  1.00E+00 -3.88E-02 -3.22E-01 -4.69E-01
  29.40  2.00E-01  1.33E-01  8.02E-01  3.49E-01  2.00E-01  1.83E-01  2.53E-02  3.80E-02  2.00E-01  1.24E-01  1.00E+00  2.00E-01  1.00E+00  1.33E-01  8.02E-01  3.49E-01
  29.70  4.00E-01 -4.90E-02 -4.11E-03  8.76E-02 -2.69E-02 -2.42E-02  1.51E-02  1.96E-02  1.71E-01  8.92E-02  1.00E+00  4.00E-01  1.00E+00 -4.90E-02 -4.11E-03  8.76E-02
  30.00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E+00  0.00E+00  0.00E+00  0.00E+00
